Date,DaysToNextTradingDay,DayBeforeHoliday,Volume,Return,OvernightReturn,IntradayTradingRange,BBBBondMargin,CorporateBondMargin,Dispersion
2017-09-12,1,No,1214644078,0.005013868754247809,0.0017149784541462436,0.01789722095937071,0.6200000000000001,0.2799999999999998,0.013806828431758861
2017-09-13,1,No,1176812145,8.3419845302991e-5,-7.23449225118729e-4,0.01601622140879559,0.6200000000000001,0.28000000000000025,0.015551564374910162
2017-09-14,1,No,1193811959,7.618102444106856e-4,-0.001091061101253376,0.015530798784947834,0.6200000000000001,0.29000000000000004,0.010703350347135642
2017-09-15,3,No,1846571724,0.002353995134795761,-4.8677667595688407e-4,0.014978678616433422,0.6200000000000001,0.29000000000000004,0.010565969792517182
2017-09-18,1,No,1139734738,0.00216333461538598,0.0013547033272875986,0.015447559836164517,0.6099999999999999,0.2799999999999998,0.011056217961912841
2017-09-19,1,No,1133552818,-7.302136206756523e-4,0.0011186671630543216,0.015649978369831327,0.6099999999999999,0.2799999999999998,0.011319412179036897
2017-09-20,1,No,1245411444,0.0017079118399218318,6.211504968394009e-4,0.0180979830378955,0.6200000000000001,0.29000000000000004,0.013048518120525552
2017-09-21,1,No,1008137891,-0.0021372963549306807,-3.634878946043161e-4,0.014149632059643561,0.6200000000000001,0.29000000000000004,0.008473607719441592
2017-09-22,3,No,977709102,0.002162332861500978,-5.370396956544347e-4,0.014690200183455222,0.6300000000000003,0.30000000000000027,0.011120146915293602
2017-09-25,1,No,1161857689,0.0036149144481015397,-6.798947240667235e-5,0.01659960288508255,0.6299999999999999,0.2999999999999998,0.01312094964568013
2017-09-26,1,No,1060743573,0.00154234635872633,0.0012856698372569369,0.01414422858504259,0.6299999999999999,0.2999999999999998,0.00840620533820254
2017-09-27,1,No,1263742643,0.0032887243437103838,0.003106534997985718,0.01760814836477303,0.6199999999999997,0.29000000000000004,0.014958903833960568
2017-09-28,1,No,1107194603,0.0011114802073112335,-0.0010245802423442861,0.01589682895462454,0.6300000000000003,0.30000000000000027,0.010186847605244536
2017-09-29,3,No,1114405596,0.002783891607698836,1.3959127839534516e-4,0.014093076760363718,0.6200000000000001,0.29000000000000004,0.009856374562435677
2017-10-02,1,No,1120588405,0.0033495841409067477,-8.690654169219058e-4,0.016680363371432836,0.6399999999999997,0.31000000000000005,0.01228361569534829
2017-10-03,1,No,1019117498,8.526557700880878e-4,0.0011368806587928617,0.013956392290498944,0.6400000000000001,0.31000000000000005,0.00979403052082192
2017-10-04,1,No,1041349989,0.0027506733434947894,4.8215266922909474e-4,0.014295844324510695,0.6400000000000001,0.31000000000000005,0.013439186316348406
2017-10-05,1,No,1050837613,0.0037061850518203916,0.001164874522259057,0.014902201959313072,0.6299999999999999,0.2999999999999998,0.00975117824277723
2017-10-06,3,No,1004188801,-0.0029114621990516502,-0.0022593143866761574,0.013935818348775377,0.6299999999999999,0.31000000000000005,0.010336008412623679
2017-10-09,1,No,949039675,-0.003789467280365081,8.652041594320972e-4,0.013198923025094561,0.6299999999999999,0.30000000000000027,0.009722853971709713
2017-10-10,1,No,1093813554,0.0028090453726505485,0.002491545259532927,0.014460014489963958,0.6300000000000003,0.30000000000000027,0.01016610058891266
2017-10-11,1,No,1141170801,5.489213640266825e-4,-5.588301420308039e-4,0.01323990961271296,0.6300000000000003,0.30000000000000027,0.008627911041447703
2017-10-12,1,No,1278488735,9.417259945427652e-5,-0.0014120023215527307,0.015120398197394797,0.6299999999999999,0.2999999999999998,0.012405238730275384
2017-10-13,3,No,1212204671,5.164769869700573e-4,0.002265516257296758,0.01592940887559771,0.6300000000000003,0.30000000000000027,0.011836921928151473
2017-10-16,1,No,1080387033,-1.3457274602763104e-4,4.5946964404069377e-4,0.014288797020567106,0.6200000000000001,0.2999999999999998,0.010859561949371684
2017-10-17,1,No,1094804012,2.007089191518764e-4,-5.3993896832349794e-5,0.015321940697356417,0.6300000000000003,0.30000000000000027,0.013547047051335324
2017-10-18,1,No,1081257854,0.001140896918643865,0.0016042094792425748,0.014402087158914308,0.6300000000000003,0.31000000000000005,0.010961400220113259
2017-10-19,1,No,1099748789,0.00230890261218989,-0.003233870008681208,0.016972011377420812,0.6299999999999999,0.2999999999999998,0.011758122406385218
2017-10-20,3,No,1366919611,0.006510619563012497,0.003761615009170851,0.014575575120540394,0.6299999999999999,0.2999999999999998,0.012595615239102556
2017-10-23,1,No,1270314847,-0.0029579613524375868,0.0010130818758849539,0.015141533743384174,0.6200000000000001,0.30000000000000027,0.01115840705810491
2017-10-24,1,No,1337509157,9.198149767083209e-4,0.0014205760316625844,0.016177380328024793,0.6199999999999997,0.2999999999999998,0.014114656298648491
2017-10-25,1,No,1332536479,-0.005510387082701421,-9.728161659768825e-4,0.020755431743045265,0.6099999999999999,0.29000000000000004,0.012239564139297231
2017-10-26,1,No,1458052837,0.0016920079978843326,0.0016561039949395011,0.02252525864642333,0.6199999999999997,0.2999999999999998,0.019576169039302694
2017-10-27,3,No,1605318335,-3.482610347152501e-4,-0.0027964160375796047,0.022564810369278748,0.6199999999999997,0.2999999999999998,0.02122074064193417
2017-10-30,1,No,1339363566,-0.005393848127518574,-0.002564977849135531,0.017366612572246472,0.6200000000000001,0.29000000000000004,0.01317952929395814
2017-10-31,1,No,1372250313,0.0018405862408603056,0.001548059495239445,0.01796279051863331,0.6199999999999997,0.29000000000000004,0.015486252333822833
2017-11-01,1,No,1266919248,6.749233527581168e-4,0.004356244085374637,0.019473223715216953,0.6200000000000001,0.29000000000000004,0.012298400593159457
